Customer Id,Subscription Id,Invoice Number,Invoice Date,Start Date,Amount,Status,Paid On,Next Retry,Refunded Amount,Recurring,First Invoice,Tax Total,Customer Details
2uENY2ytPEiGCuKJkO,2uENY2ytPEiGCuKJkO,7062,6/05/2015 06:29:00,6/05/2015 06:29:00,9.0000,Payment Due,,,0.0000,TRUE,TRUE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : """", ""Last Name"" : """"}"
1mqYqruPCRsr6EEhR,,7060,5/26/2015 09:54:00,5/26/2015 09:54:00,12.0000,Payment Due,,,0.0000,FALSE,FALSE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : """", ""Last Name"" : """"}"
1mqYqp8P7vGR0b8Ww,1mqYqp8P7vGR0b8Ww,draft_inv_2uENY31gPDfwZyZGw,5/25/2015 06:30:00,4/25/2015 06:30:00,20.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : ""john@user.com"", ""First Name"" : ""John"", ""Last Name"" : ""Wayne""}"
1mqYqp8P7vDLW98TV,1mqYqp8P7vDLW98TV,draft_inv_2uENY31gPDfw4nxFh,5/25/2015 06:28:00,4/27/2015 11:04:00,29.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : ""asdfa@asd.com"", ""First Name"" : ""asda"", ""Last Name"" : ""asd""}"
test_sub2,test_sub2,draft_inv_2slhRVZTPDfr7xK2Z,5/25/2015 06:08:00,4/25/2015 06:08:00,10.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : ""John"", ""Last Name"" : ""Doe""}"
test_sub,test_sub,draft_inv_2uENY31gPDfr0ZeA5,5/25/2015 06:07:00,4/25/2015 06:07:00,10.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : ""John"", ""Last Name"" : ""Doe""}"
2uENY34LP7v8aYs8di,2uENY34LP7vA8698fV,draft_inv_HpvtAY1PDfqC5B1Z,5/25/2015 06:04:00,4/25/2015 06:04:00,10.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : ""john@test.com"", ""First Name"" : ""John"", ""Last Name"" : ""Doe""}"
cbdemo_XpbGA4wP6d1LnOC,cbdemo_XpbGA4wP6d1LnOC,draft_inv_1mqYqnaPDflh3K1,5/25/2015 05:46:00,4/25/2015 05:46:00,0.0000,Pending,,,0.0000,TRUE,FALSE,0.0000,"{""Company"" : """", ""Email"" : ""jon@cbacme.com"", ""First Name"" : ""Jon"", ""Last Name"" : ""M""}"
2uENY34fPA5FDA5NCA,2uENY30FPAZjzQaToC,7059,5/22/2015 09:35:00,4/22/2015 09:35:00,198.0000,Payment Due,,,0.0000,TRUE,TRUE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : """", ""Last Name"" : """"}"
1mqYqruPCRsr6EEhR,2uENY3ATPCRtZrIMIi,7058,5/19/2015 08:29:00,5/19/2015 08:29:00,11.0000,Payment Due,,,0.0000,FALSE,TRUE,0.0000,"{""Company"" : """", ""Email"" : """", ""First Name"" : """", ""Last Name"" : """"}"
